isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9789389934656,5,1095.0,40.0,NA,307,ALLIED,0.0
9789389934656,0,1095.0,30.0,NA,253,ALLIED PUB,0.0
9789389934915,10,950.0,40.0,NA,307,ALLIED,0.0
9789391524111,5,1800.0,50.0,NA,421,,0.0
9781903734469,3,268.852,55.0,NA,39,,0.0
9780132275606,1,10224.0,40.0,NA,265,,0.0
9789357485302,100,399.0,50.0,NA,304,Double 9 Publisher,0.0
9789364286411,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358710625,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789360463045,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789364286411,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287661,1,475.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789364287920,1,399.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358018349,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789361423758,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789364281324,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364281553,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287661,100,475.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287920,100,399.0,50.0,NA,304,Double 9 Publisher,0.0
9789361426544,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288293,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789355291318,5,395.0,40.0,NA,392,,0.0
9789364288514,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789361426803,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288514,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789357489089,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789358017502,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288989,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289108,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789358018578,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789358018998,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789361426391,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789350300169,5,1695.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789358017601,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789364286978,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289757,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9781948146166,10,270.0,30.0,NA,344,,0.0
9780632046447,1,4041.77,40.0,NA,245,BLACKWELL PUBLISHING,0.0
9789361426100,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789370423428,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287012,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9788183768573,5,1795.0,50.0,NA,393,ABD PUBLISHERS,0.0
9788192485171,10,640.0,30.0,NA,344,,0.0
9788189473402,5,900.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9780121820190,1,24992.4,45.0,NA,245,ACADEMIC PRESS,0.0
9789364286510,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789358016390,100,145.0,40.0,NA,304,Double 9 Publisher,0.0
9789358017915,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789361427244,100,349.0,50.0,NA,304,Double 9 Publisher,0.0
9789361429897,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789389934861,5,650.0,40.0,NA,307,ALLIED,0.0
9788179752418,5,700.0,50.0,NA,421,,0.0
9788189473051,5,1250.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789391524937,5,1800.0,50.0,NA,421,,0.0
9789364282529,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9788183761406,5,995.0,50.0,NA,393,ABD PUBLISHERS,0.0
9789357489010,1,275.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789361152924,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789357485234,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789357489010,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789361152924,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9781859734681,0,7290.0,42.5,NA,22,BERG PUBLISHERS,0.0
9789358712001,100,535.0,50.0,NA,304,Double 9 Publisher,0.0
9789370817081,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789380179551,5,1875.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789364286633,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789357483872,1,649.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358710748,1,175.0,40.0,NA,187,DOUBLE 9 BOOKS,700.0
9789357483872,100,649.0,50.0,NA,304,Double 9 Publisher,0.0
9789358018660,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789358710748,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789361426407,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789380930053,5,825.0,45.0,NA,425,YKING BOOKS,0.0
9781474206853,0,17075.3,42.5,NA,22,BLOOMSBURY ACADEMIC,0.0
9780803607293,1,4221.6,45.0,NA,245,F.A.DAVIS COMPANY,0.0
9789358011265,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789358017717,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789361427046,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789364280303,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789380179155,5,1700.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789361427503,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9788189473068,5,975.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789357484442,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789364280501,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364282260,100,325.0,50.0,NA,304,Double 9 Publisher,0.0
9789364286237,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789948005087,0,5992.0,40.0,NA,22,THE EMIRATES CENTER FOR STRATEGIC STUDIES & RESEARCH,0.0
9780205791255,0,1616.0,45.0,NA,245,PRENTICE HALL,0.0
9789360462475,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9781596931541,0,17532.9,60.0,NA,259,ARTECH HOUSE,0.0
9789357480611,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289542,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9789385719318,1,1495.0,50.0,NA,139,,0.5
9789364288644,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789350300008,5,1500.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9788183768597,5,1795.0,50.0,NA,393,ABD PUBLISHERS,0.0
9781350229242,0,19344.1,42.5,NA,22,BLOOMSBURY,0.0
9789358017328,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789364286930,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789360462697,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287852,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789361426155,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789364280341,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364280976,100,299.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288194,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789357484695,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789358016581,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9788121202428,100,590.0,50.0,NA,34,GYAN PUBLISHING HOUSE,0.0
9789948004004,0,5771.25,42.5,NA,22,THE EMIRATES CENTER FOR STRATEGIC STUDIES & RESEARCH,0.0
9788121202428,10,590.0,45.0,NA,92,RAJ PUBLICATIONS,0.0
9780130981370,1,5434.0,40.0,NA,265,,0.0
9789358712100,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
