isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9780000003898,0,199.0,20.0,NA,23,RELATIVITY: THE SPECIAL AND GENERAL THEORY,0.0
9780000011251,0,285.0,20.0,NA,23,BHARAT KA SANVIDHAN AND BARATIY RAJBYAVSTHA,0.0
9781898697756,0,1490.01,30.0,NA,21,GRUB STREET,0.0
9788176257695,0,300.0,50.0,NA,87,SARUP,0.0
9780000011053,0,275.0,20.0,NA,23,GANDHI NEHRU TAGORE & OTHER EMINENT PERSONALITIES OF MODERN INDIA 2019,0.0
9788190276665,0,129.0,33.0,NA,20,,0.0
9781545364574,0,504.0,28.0,NA,90,INGRAM USA,177.0
9788176257473,0,2200.0,36.0,NA,285,VYCO BOOKS,0.0
9780000003478,0,150.0,20.0,NA,23,THE DISAPPEARING DOG,0.0
9780000011343,0,100.0,20.0,NA,23,PLZ... KISS ME OR KILL ME,0.0
9789358712452,2,575.0,50.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9780000003539,0,399.0,20.0,NA,23,WHO SAYS ELEPHANTS CANT DANCE,0.0
9780007102150,0,1988.25,33.0,NA,20,HARPER COLLINS,0.0
9781931719223,0,5020.63,30.0,NA,21,ROXBURY,0.0
9789812458889,0,650.0,33.0,NA,20,,0.0
9788174462459,0,645.0,35.0,NA,130,EXCEL-BOOKS,0.0
9788174467201,0,665.0,35.0,NA,130,EXCEL-BOOKS,0.0
9780741411969,0,1266.0,0.0,NA,188,PBC-DISTRIBUTORS,0.0
9780000011329,0,250.0,20.0,NA,23,THE SIALKOT SAGA (A FORMAT),0.0
9780000012746,0,95.0,20.0,NA,23,IN STSTCHES MS WIZ,0.0
9781869536084,0,2000.0,33.0,NA,20,BATEMAN,0.0
9780070483026,0,340.0,20.0,NA,42,MHE,0.0
9781472373595,0,95.0,43.0,NA,99,PARRAGON,0.0
9789364286411,2,249.0,50.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9781179773391,0,1496.0,0.0,NA,188,PBC-DISTRIBUTORS,0.0
9781760277680,0,150.0,50.0,NA,204,SCHOLASTIC,0.0
9780890069486,0,7852.6,30.0,NA,21,ARTECH HOUSE,0.0
9781248779835,0,2232.0,30.0,NA,90,INGRAM UK,571.0
9789361423758,2,199.0,50.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9780205957620,0,7384.0,30.0,NA,43,PEARSON,0.0
9788121506397,0,850.0,30.0,NA,14,MUNSHIRAM MANOHARLAL PUBLISHERS PVT LTD,0.0
9788171511129,5,180.0,33.0,NA,340,,0.0
9781580535045,0,7394.4,30.0,NA,21,ARTECH HOUSE,0.0
9781529833676,0,776.0,62.0,NA,90,GARDNER,128.0
9780000003485,0,175.0,20.0,NA,23,"CAPTAIN AWESOME VS THE SPOOKY, SCARY HO",0.0
9780000003737,0,395.0,20.0,NA,23,PARYAVARAN EVAM PRODYOGIKI,0.0
9780000011206,0,525.0,20.0,NA,23,PUBLIC ADMINISTRATION 2020,0.0
9781901242683,0,1789.2,30.0,NA,21,GASKELL,0.0
9789381347737,0,5700.0,40.0,NA,23,GOODWILL,0.0
9781548139445,0,544.826,10.0,NA,188,PBC-DISTRIBUTORS,0.0
9780000003782,0,699.0,20.0,NA,23,INVESTORIES - ANECDOTES FROM THE FINANCIAL WORLD,0.0
9780000011466,0,195.0,20.0,NA,23,IN SEARCH OF LOST LIFE,0.0
9780000012265,0,125.0,20.0,NA,23,TEACH YOURSELF GERMAN,0.0
9780961915544,0,1274.45,30.0,NA,21,,0.0
9781472394248,0,694.331,27.0,NA,188,PBC-DISTRIBUTORS,0.0
9780070494947,0,365.0,20.0,NA,42,MHE,0.0
